video_id,frame_number,timestamp_s,tag,probability,xmin,ymin,xmax,ymax,frame_width,frame_height,seconds
vid-002,0,0,LEN - TVGI,0.3805,309,713,443,847,1920,1080,1
vid-002,1,1,LEN - TVGI,0.3654,310,713,443,846,1920,1080,1
vid-002,2,2,LEN - TVGI,0.3598,309,713,444,845,1920,1080,1
vid-002,3,3,LEN - TVGI,0.3643,311,713,444,845,1920,1080,1
vid-002,4,4,LEN - TVGI,0.393,311,711,442,845,1920,1080,1
vid-002,5,5,LEN - TVGI,0.4241,310,713,443,847,1920,1080,1
vid-002,6,6,LEN - TVGI,0.3899,312,712,446,846,1920,1080,1
vid-002,7,7,LEN - TVGI,0.3984,312,711,444,847,1920,1080,1
vid-002,8,8,LEN - TVGI,0.428,313,710,443,845,1920,1080,1
vid-002,9,9,LEN - TVGI,0.4289,313,713,447,846,1920,1080,1
vid-002,10,10,LEN - TVGI,0.411,312,713,445,847,1920,1080,1
vid-002,11,11,LEN - TVGI,0.407,308,712,441,850,1920,1080,1
vid-002,12,12,LEN - TVGI,0.4222,309,713,444,849,1920,1080,1
vid-002,13,13,LEN - TVGI,0.4187,311,710,444,848,1920,1080,1
vid-002,14,14,LEN - TVGI,0.3954,312,710,444,848,1920,1080,1
vid-002,15,15,LEN - TVGI,0.4286,309,709,442,848,1920,1080,1
vid-002,16,16,LEN - TVGI,0.3965,311,709,442,848,1920,1080,1
vid-002,17,17,LEN - TVGI,0.3822,308,713,439,847,1920,1080,1
vid-002,18,18,LEN - TVGI,0.401,308,711,442,850,1920,1080,1
vid-002,19,19,LEN - TVGI,0.3638,308,712,440,848,1920,1080,1
vid-002,20,20,LEN - TVGI,0.4151,308,713,443,851,1920,1080,1
vid-002,21,21,LEN - TVGI,0.37,306,714,441,848,1920,1080,1
vid-002,22,22,LEN - TVGI,0.3591,307,711,442,851,1920,1080,1
vid-002,23,23,LEN - TVGI,0.4171,308,713,443,849,1920,1080,1
vid-002,24,24,LEN - TVGI,0.3697,311,715,444,845,1920,1080,1
vid-002,25,25,LEN - TVGI,0.3424,310,716,447,847,1920,1080,1
vid-002,26,26,LEN - TVGI,0.381,311,713,444,849,1920,1080,1
vid-002,27,27,LEN - TVGI,0.4083,310,714,443,850,1920,1080,1
vid-002,28,28,LEN - TVGI,0.4079,309,711,444,851,1920,1080,1
vid-002,29,29,LEN - TVGI,0.3707,309,714,443,848,1920,1080,1
vid-002,30,30,LEN - TVGI,0.4446,309,710,444,849,1920,1080,1
vid-002,31,31,LEN - TVGI,0.3795,310,713,445,850,1920,1080,1
vid-002,32,32,LEN - TVGI,0.4088,310,711,442,850,1920,1080,1
vid-002,33,33,LEN - TVGI,0.3975,311,712,444,849,1920,1080,1
vid-002,34,34,LEN - TVGI,0.4066,311,713,442,847,1920,1080,1
vid-002,35,35,LEN - TVGI,0.3715,313,714,443,847,1920,1080,1
vid-002,36,36,LEN - TVGI,0.4282,311,711,445,846,1920,1080,1
vid-002,37,37,LEN - TVGI,0.4132,311,713,447,847,1920,1080,1
vid-002,38,38,LEN - TVGI,0.3929,315,710,447,844,1920,1080,1
vid-002,39,39,LEN - TVGI,0.438,313,710,449,846,1920,1080,1
vid-002,40,40,LEN - TVGI,0.4228,313,709,447,843,1920,1080,1
vid-002,41,41,LEN - TVGI,0.4209,312,713,448,847,1920,1080,1
vid-002,42,42,LEN - TVGI,0.4859,312,708,447,847,1920,1080,1
vid-002,43,43,LEN - TVGI,0.4491,311,711,444,844,1920,1080,1
vid-002,44,44,LEN - TVGI,0.4133,311,710,445,844,1920,1080,1
vid-002,45,45,LEN - TVGI,0.4166,309,712,443,844,1920,1080,1
vid-002,46,46,LEN - TVGI,0.427,309,710,445,848,1920,1080,1
vid-002,47,47,LEN - TVGI,0.4595,308,710,443,849,1920,1080,1
vid-002,48,48,LEN - TVGI,0.3962,307,711,441,844,1920,1080,1
vid-002,49,49,LEN - TVGI,0.3835,308,712,443,845,1920,1080,1
vid-002,50,50,LEN - TVGI,0.3989,307,711,441,848,1920,1080,1
vid-002,51,51,LEN - TVGI,0.4465,309,713,441,848,1920,1080,1
vid-002,52,52,LEN - TVGI,0.4304,308,714,441,847,1920,1080,1
vid-002,53,53,LEN - TVGI,0.4175,309,713,443,847,1920,1080,1
vid-002,54,54,LEN - TVGI,0.402,309,713,443,850,1920,1080,1
vid-002,55,55,LEN - TVGI,0.4638,309,714,444,850,1920,1080,1
vid-002,56,56,LEN - TVGI,0.4083,310,712,442,848,1920,1080,1
vid-002,57,57,LEN - TVGI,0.451,310,713,442,847,1920,1080,1
vid-002,58,58,LEN - TVGI,0.4439,312,713,443,846,1920,1080,1
vid-002,59,59,LEN - TVGI,0.4261,309,713,441,847,1920,1080,1
vid-002,60,60,LEN - TVGI,0.4392,310,712,440,846,1920,1080,1
vid-002,61,61,LEN - TVGI,0.4435,309,714,441,847,1920,1080,1
vid-002,62,62,LEN - TVGI,0.4058,311,714,441,846,1920,1080,1
vid-002,63,63,LEN - TVGI,0.4478,308,712,441,846,1920,1080,1
vid-002,64,64,LEN - TVGI,0.4334,309,709,442,844,1920,1080,1
vid-002,65,65,LEN - TVGI,0.4896,309,710,444,847,1920,1080,1
vid-002,66,66,LEN - TVGI,0.4618,308,711,443,845,1920,1080,1
vid-002,67,67,LEN - TVGI,0.4529,309,713,444,846,1920,1080,1
vid-002,68,68,LEN - TVGI,0.4234,308,710,443,846,1920,1080,1
vid-002,69,69,LEN - TVGI,0.4529,309,711,442,846,1920,1080,1
vid-002,70,70,LEN - TVGI,0.4539,308,712,444,846,1920,1080,1
vid-002,71,71,LEN - TVGI,0.4155,310,713,444,848,1920,1080,1
vid-002,72,72,LEN - TVGI,0.4067,310,714,443,849,1920,1080,1
vid-002,73,73,LEN - TVGI,0.4596,306,713,442,848,1920,1080,1
vid-002,74,74,LEN - TVGI,0.4797,311,712,445,849,1920,1080,1
vid-002,75,75,LEN - TVGI,0.4543,311,713,443,847,1920,1080,1
vid-002,76,76,LEN - TVGI,0.4687,309,712,441,846,1920,1080,1
vid-002,77,77,LEN - TVGI,0.4667,308,712,441,848,1920,1080,1
vid-002,78,78,LEN - TVGI,0.4334,310,714,443,848,1920,1080,1
vid-002,79,79,LEN - TVGI,0.4383,306,713,440,846,1920,1080,1
vid-002,80,80,LEN - TVGI,0.4637,308,713,443,849,1920,1080,1
vid-002,81,81,LEN - TVGI,0.4343,306,714,441,849,1920,1080,1
vid-002,82,82,LEN - TVGI,0.432,307,715,442,851,1920,1080,1
vid-002,83,83,LEN - TVGI,0.4379,307,714,441,850,1920,1080,1
vid-002,84,84,LEN - TVGI,0.4564,311,712,445,847,1920,1080,1
vid-002,85,85,LEN - TVGI,0.399,311,714,443,843,1920,1080,1
vid-002,86,86,LEN - TVGI,0.4076,306,716,441,844,1920,1080,1
vid-002,87,87,LEN - TVGI,0.4266,306,710,441,848,1920,1080,1
vid-002,88,88,LEN - TVGI,0.4194,310,710,443,846,1920,1080,1
vid-002,89,89,LEN - TVGI,0.363,315,709,445,844,1920,1080,1
vid-002,90,90,LEN - TVGI,0.3449,315,709,451,846,1920,1080,1
vid-002,91,91,LEN - TVGI,0.3589,314,711,450,842,1920,1080,1
vid-002,92,92,LEN - TVGI,0.3979,309,708,448,848,1920,1080,1
vid-002,93,93,LEN - TVGI,0.4027,311,709,451,851,1920,1080,1
vid-002,94,94,LEN - TVGI,0.4039,310,712,449,846,1920,1080,1
vid-002,95,95,LEN - TVGI,0.4407,312,714,449,848,1920,1080,1
vid-002,96,96,LEN - TVGI,0.4394,311,709,450,844,1920,1080,1
vid-002,97,97,LEN - TVGI,0.401,311,707,451,844,1920,1080,1
vid-002,98,98,LEN - TVGI,0.4206,310,703,452,847,1920,1080,1
vid-002,99,99,LEN - TVGI,0.4283,314,709,449,845,1920,1080,1
vid-002,100,100,LEN - TVGI,0.4651,309,706,446,850,1920,1080,1
vid-002,101,101,LEN - TVGI,0.4606,314,704,449,842,1920,1080,1
vid-002,102,102,LEN - TVGI,0.4757,308,707,447,850,1920,1080,1
vid-002,103,103,LEN - TVGI,0.4117,310,709,444,848,1920,1080,1
vid-002,104,104,LEN - TVGI,0.4467,305,709,442,851,1920,1080,1
vid-002,105,105,LEN - TVGI,0.4814,310,708,447,853,1920,1080,1
vid-002,106,106,LEN - TVGI,0.4826,308,706,445,850,1920,1080,1
vid-002,107,107,LEN - TVGI,0.4229,309,710,445,852,1920,1080,1
vid-002,108,108,LEN - TVGI,0.4324,307,710,444,848,1920,1080,1
vid-002,109,109,LEN - TVGI,0.4928,307,709,442,849,1920,1080,1
vid-002,110,110,LEN - TVGI,0.4165,306,713,442,854,1920,1080,1
vid-002,111,111,LEN - TVGI,0.426,307,709,442,851,1920,1080,1
vid-002,112,112,LEN - TVGI,0.4091,307,712,442,851,1920,1080,1
vid-002,113,113,LEN - TVGI,0.4285,307,709,442,850,1920,1080,1
vid-002,114,114,LEN - TVGI,0.4352,310,711,444,849,1920,1080,1
vid-002,115,115,LEN - TVGI,0.4225,308,711,442,853,1920,1080,1
vid-002,116,116,LEN - TVGI,0.4725,308,710,445,849,1920,1080,1
vid-002,117,117,LEN - TVGI,0.4794,307,711,441,853,1920,1080,1
vid-002,118,118,LEN - TVGI,0.4043,311,709,447,850,1920,1080,1
vid-002,119,119,LEN - TVGI,0.4004,311,707,448,849,1920,1080,1
vid-002,120,120,LEN - TVGI,0.4118,312,707,446,849,1920,1080,1
vid-002,121,121,LEN - TVGI,0.4084,314,710,446,848,1920,1080,1
vid-002,122,122,LEN - TVGI,0.3685,311,714,443,850,1920,1080,1
vid-002,123,123,LEN - TVGI,0.3856,314,711,444,847,1920,1080,1
vid-002,124,124,LEN - TVGI,0.3647,313,711,444,848,1920,1080,1
vid-002,125,125,LEN - TVGI,0.3949,312,708,448,845,1920,1080,1
vid-002,126,126,LEN - TVGI,0.3874,313,710,445,849,1920,1080,1
vid-002,127,127,LEN - TVGI,0.4336,307,713,445,853,1920,1080,1
vid-002,128,128,LEN - TVGI,0.4252,310,712,442,848,1920,1080,1
vid-002,129,129,LEN - TVGI,0.4604,308,714,442,851,1920,1080,1
vid-002,130,130,LEN - TVGI,0.4009,309,712,443,850,1920,1080,1
vid-002,131,131,LEN - TVGI,0.4055,309,715,442,852,1920,1080,1
vid-002,132,132,LEN - TVGI,0.4424,309,714,443,852,1920,1080,1
vid-002,133,133,LEN - TVGI,0.4333,309,714,440,849,1920,1080,1
vid-002,134,134,LEN - TVGI,0.4177,310,711,442,846,1920,1080,1
vid-002,135,135,LEN - TVGI,0.3606,312,718,441,847,1920,1080,1
vid-002,136,136,LEN - TVGI,0.4012,310,713,442,848,1920,1080,1
vid-002,137,137,LEN - TVGI,0.3706,309,715,439,852,1920,1080,1
vid-002,138,138,LEN - TVGI,0.3396,313,714,441,848,1920,1080,1
vid-002,139,139,LEN - TVGI,0.3964,309,712,440,849,1920,1080,1
vid-002,140,140,LEN - TVGI,0.3482,311,714,443,851,1920,1080,1
vid-002,141,141,LEN - TVGI,0.384,310,710,443,850,1920,1080,1
vid-002,142,142,LEN - TVGI,0.4166,311,707,445,849,1920,1080,1
vid-002,143,143,LEN - TVGI,0.4092,309,712,444,851,1920,1080,1
vid-002,144,144,LEN - TVGI,0.3649,309,711,446,851,1920,1080,1
vid-002,145,145,LEN - TVGI,0.4534,313,707,448,844,1920,1080,1
vid-002,146,146,LEN - TVGI,0.3721,308,712,446,851,1920,1080,1
vid-002,147,147,LEN - TVGI,0.4465,310,711,444,852,1920,1080,1
vid-002,148,148,LEN - TVGI,0.4338,310,711,449,851,1920,1080,1
vid-002,149,149,LEN - TVGI,0.4539,313,712,449,848,1920,1080,1
vid-002,150,150,LEN - TVGI,0.4348,314,711,448,850,1920,1080,1
vid-002,151,151,LEN - TVGI,0.4498,315,715,446,850,1920,1080,1
vid-002,152,152,LEN - TVGI,0.4877,313,711,444,853,1920,1080,1
vid-002,153,153,LEN - TVGI,0.4926,313,710,447,849,1920,1080,1
vid-002,154,154,LEN - TVGI,0.4665,312,709,449,847,1920,1080,1
vid-002,155,155,LEN - TVGI,0.4368,311,708,448,848,1920,1080,1
vid-002,156,156,LEN - TVGI,0.4441,313,707,448,848,1920,1080,1
vid-002,157,157,LEN - TVGI,0.4425,311,710,447,848,1920,1080,1
vid-002,158,158,LEN - TVGI,0.3741,313,711,444,849,1920,1080,1
vid-002,159,159,LEN - TVGI,0.4109,314,712,446,851,1920,1080,1
vid-002,160,160,LEN - TVGI,0.3635,310,710,442,849,1920,1080,1
vid-002,161,161,LEN - TVGI,0.3882,313,714,440,848,1920,1080,1
vid-002,162,162,LEN - TVGI,0.4791,311,714,440,850,1920,1080,1
vid-002,163,163,LEN - TVGI,0.4313,309,711,440,846,1920,1080,1
vid-002,164,164,LEN - TVGI,0.4902,309,711,441,851,1920,1080,1
vid-002,165,165,LEN - TVGI,0.4573,311,712,445,848,1920,1080,1
vid-002,166,166,LEN - TVGI,0.4909,310,714,444,850,1920,1080,1
vid-002,167,167,LEN - TVGI,0.477,311,713,446,849,1920,1080,1
vid-002,168,168,LEN - TVGI,0.4501,311,714,447,848,1920,1080,1
vid-002,169,169,LEN - TVGI,0.4442,311,711,446,849,1920,1080,1
vid-002,170,170,LEN - TVGI,0.4752,312,711,448,845,1920,1080,1
vid-002,171,171,LEN - TVGI,0.4947,313,710,445,847,1920,1080,1
vid-002,172,172,LEN - TVGI,0.4781,312,708,445,849,1920,1080,1
vid-002,173,173,LEN - TVGI,0.483,312,713,444,849,1920,1080,1
vid-002,174,174,LEN - TVGI,0.4444,312,710,448,846,1920,1080,1
vid-002,175,175,LEN - TVGI,0.4278,312,705,445,847,1920,1080,1
vid-002,176,176,LEN - TVGI,0.455,313,708,446,847,1920,1080,1
vid-002,177,177,LEN - TVGI,0.4586,312,710,445,852,1920,1080,1
vid-002,178,178,LEN - TVGI,0.3686,314,712,448,846,1920,1080,1
vid-002,179,179,LEN - TVGI,0.435,313,712,448,848,1920,1080,1
vid-002,180,180,LEN - TVGI,0.4353,312,709,447,848,1920,1080,1
vid-002,181,181,LEN - TVGI,0.458,312,708,448,848,1920,1080,1
vid-002,182,182,LEN - TVGI,0.4179,309,706,447,848,1920,1080,1
vid-002,183,183,LEN - TVGI,0.39,311,708,450,849,1920,1080,1
vid-002,184,184,LEN - TVGI,0.4579,312,708,447,849,1920,1080,1
vid-002,185,185,LEN - TVGI,0.4051,309,705,449,848,1920,1080,1
vid-002,186,186,LEN - TVGI,0.496,309,706,450,850,1920,1080,1
vid-002,187,187,LEN - TVGI,0.4924,310,704,447,847,1920,1080,1
vid-002,188,188,LEN - TVGI,0.4687,309,706,449,850,1920,1080,1
vid-002,189,189,LEN - TVGI,0.5145,308,710,446,853,1920,1080,1
vid-002,190,190,LEN - TVGI,0.483,311,706,446,851,1920,1080,1
vid-002,191,191,LEN - TVGI,0.5014,308,706,444,852,1920,1080,1
vid-002,192,192,LEN - TVGI,0.5027,306,707,442,852,1920,1080,1
vid-002,193,193,LEN - TVGI,0.4186,308,713,445,851,1920,1080,1
vid-002,194,194,LEN - TVGI,0.4797,311,710,446,850,1920,1080,1
vid-002,195,195,LEN - TVGI,0.4753,309,708,444,852,1920,1080,1
vid-002,196,196,LEN - TVGI,0.5107,308,710,444,854,1920,1080,1
vid-002,197,197,LEN - TVGI,0.4659,307,708,444,852,1920,1080,1
vid-002,198,198,LEN - TVGI,0.5323,308,709,442,854,1920,1080,1
vid-002,199,199,LEN - TVGI,0.4276,309,712,444,851,1920,1080,1
vid-002,200,200,LEN - TVGI,0.4712,309,710,447,852,1920,1080,1
vid-002,201,201,LEN - TVGI,0.4508,309,709,446,851,1920,1080,1
vid-002,202,202,LEN - TVGI,0.4637,308,713,444,853,1920,1080,1
vid-002,203,203,LEN - TVGI,0.4839,307,712,445,854,1920,1080,1
vid-002,204,204,LEN - TVGI,0.4607,311,708,445,848,1920,1080,1
vid-002,205,205,LEN - TVGI,0.4434,309,711,444,849,1920,1080,1
vid-002,206,206,LEN - TVGI,0.4885,307,708,442,851,1920,1080,1
vid-002,207,207,LEN - TVGI,0.4682,308,709,443,852,1920,1080,1
vid-002,208,208,LEN - TVGI,0.4261,307,712,441,852,1920,1080,1
vid-002,209,209,LEN - TVGI,0.4682,308,712,443,848,1920,1080,1
vid-002,210,210,LEN - TVGI,0.4514,308,711,445,854,1920,1080,1
vid-002,211,211,LEN - TVGI,0.4725,307,709,442,851,1920,1080,1
vid-002,212,212,LEN - TVGI,0.4687,308,708,441,852,1920,1080,1
vid-002,213,213,LEN - TVGI,0.4623,309,711,443,854,1920,1080,1
vid-002,214,214,LEN - TVGI,0.4199,310,709,446,852,1920,1080,1
vid-002,215,215,LEN - TVGI,0.4513,308,709,446,851,1920,1080,1
vid-002,216,216,LEN - TVGI,0.4203,309,710,447,852,1920,1080,1
vid-002,217,217,LEN - TVGI,0.4175,310,709,445,848,1920,1080,1
vid-002,218,218,LEN - TVGI,0.3845,312,709,446,849,1920,1080,1
vid-002,219,219,LEN - TVGI,0.4647,310,710,446,849,1920,1080,1
vid-002,220,220,LEN - TVGI,0.4309,309,711,444,850,1920,1080,1
vid-002,221,221,LEN - TVGI,0.4476,308,708,444,847,1920,1080,1
vid-002,222,222,LEN - TVGI,0.4144,310,709,445,849,1920,1080,1
vid-002,223,223,LEN - TVGI,0.4417,309,709,443,850,1920,1080,1
vid-002,224,224,LEN - TVGI,0.464,306,709,443,852,1920,1080,1
vid-002,225,225,LEN - TVGI,0.4351,309,709,442,850,1920,1080,1
vid-002,226,226,LEN - TVGI,0.4365,308,710,442,851,1920,1080,1
vid-002,227,227,LEN - TVGI,0.434,309,711,443,850,1920,1080,1
vid-002,228,228,LEN - TVGI,0.4649,309,710,443,853,1920,1080,1
vid-002,229,229,LEN - TVGI,0.4777,309,708,443,852,1920,1080,1
vid-002,230,230,LEN - TVGI,0.4165,308,710,443,851,1920,1080,1
vid-002,231,231,LEN - TVGI,0.4341,308,708,442,851,1920,1080,1
vid-002,232,232,LEN - TVGI,0.4771,307,708,442,852,1920,1080,1
vid-002,233,233,LEN - TVGI,0.4804,307,713,441,853,1920,1080,1
vid-002,234,234,LEN - TVGI,0.4539,308,713,442,850,1920,1080,1
vid-002,235,235,LEN - TVGI,0.4665,309,711,441,851,1920,1080,1
vid-002,236,236,LEN - TVGI,0.4469,311,710,442,850,1920,1080,1
vid-002,237,237,LEN - TVGI,0.4633,308,711,442,850,1920,1080,1
vid-002,238,238,LEN - TVGI,0.471,306,711,442,850,1920,1080,1
vid-002,239,239,LEN - TVGI,0.4647,309,711,443,848,1920,1080,1
vid-002,240,240,LEN - TVGI,0.442,308,711,444,850,1920,1080,1
vid-002,241,241,LEN - TVGI,0.4798,308,710,446,850,1920,1080,1
vid-002,242,242,LEN - TVGI,0.5002,312,709,448,847,1920,1080,1
vid-002,243,243,LEN - TVGI,0.4605,311,708,449,845,1920,1080,1
vid-002,244,244,LEN - TVGI,0.4714,312,709,447,850,1920,1080,1
